n,k,variable,center,radius,box_lower,box_upper,independent_krawczyk_lower,independent_krawczyk_upper,strictly_included,inclusion_margin
4,5,w_1,0.10140746149903025715868090059954345727139939681585867837158779654890672661507816,1.0e-12,[0.1014074614980302571542063739267504350852296322067825956651363805332817266150781600000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.82e-163],[0.1014074615000302571631554272723364794575691614249347610780392125645317266150781600000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.82e-163],[0.1014074614990302568738552153397452097714432687232456503693543192395605275794336259263118231944217650040117917704587594699651716597014696748915143550963074132473 +/- 2.03e-161],[0.1014074614990302574435065858593417047713555249084717063738212738582529256507226884263118231944217650040117917704587594699651716597014696748915143550963074132473 +/- 2.03e-161],True,9.999997196488414e-13
4,5,w_2,0.28941637368550365624667699972638583524964748668189205171705563219297862816854111,1.0e-12,[0.2894163736845036562422024730535928130634777220728159690106042161773536281685411100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 9.70e-163],[0.2894163736865036562511515263991788574358172512909681344235070482086036281685411100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 9.70e-163],[0.2894163736855036562206111479072402392630131190203637283049100075772463969911514918351580054688359123964351528801898898716546825531208220081562781860594154267580 +/- 3.61e-161],[0.2894163736855036562727428515455314312362818543434203751292012568087108593459307353043962867188359123964351528801898898716546825531208220081562781860594154267580 +/- 3.61e-161],True,9.999999784086748e-13
4,5,w_3,0.39751746153573288235563608951329444726650164314140925082569205265124995106066698,1.0e-12,[0.3975174615347328823511615628405014250803318785323331681192406366356249510606669800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7.92e-163],[0.3975174615367328823601106161860874694526714077504853335321434686668749510606669800000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 7.92e-163],[0.3975174615357328821450789126887462148493846156449064522920301927590867582073354153410205717661309538828104854076314226417966003298433674402132406702223771365844 +/- 2.92e-161],[0.3975174615357328825661932663378426796836186706379120493593539125434131439139985470548877592661309538828104854076314226417966003298433674402132406702223771365844 +/- 2.92e-161],True,9.999997939173498e-13
4,5,w_4,0.21165870327973320423900601016077626021245147336084001908566451860686469415571375,1.0e-12,[0.2116587032787332042345314834879832380262817087517639363792131025912396941557137500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.8e-164],[0.2116587032807332042434805368335692823986212379699161017921159346224896941557137500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.8e-164],[0.2116587032797332041568124495714143233665990648379641306109742761601239541768638602080564745706113687167425699417199280165835454573343408767389667886219000234102 +/- 1.13e-161],[0.2116587032797332043211995707501381970583038818837159075603547610536054341345636359038572558206113687167425699417199280165835454573343408767389667886219000234102 +/- 1.13e-161],True,9.99999922280966e-13
4,5,b_1,0.087704157840579866696587541330525449055982784356895326752898984520101924322143049,1.0e-12,[0.08770415783957986669211301465773242686981301974781924404644756850447692432214304900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.0e-164],[0.08770415784157986670106206800331847124215254896597140945935040053572692432214304900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.0e-164],[0.08770415784057986609459658106544297015187893661440340944756927728721593030501887259369235188852255289971945432809048093788363522984659518485822451962807969365591 +/- 4.99e-162],[0.08770415784057986729857850159560792796008663209938724405822869175298791833926722464447360188852255289971945432809048093788363522984659518485822451962807969365591 +/- 4.99e-162],True,9.999994024835664e-13
4,5,b_2,0.10712715881892533252638266926753385662606315685845673587073298199308710999368192,1.0e-12,[0.1071271588179253325219081425947408344398933922493806531642815659774621099936819200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.92e-163],[0.1071271588199253325308571959403268788122329214675328185771843980087121099936819200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.92e-163],[0.1071271588189253318639435171472162322084228556392583626314388400255390525567388634572076022728462866192375530241938650814112896866510464915322486219988627029578 +/- 8.78e-162],[0.1071271588189253331888218213878514810437034580776551091100271239606351674306249718556451022728462866192375530241938650814112896866510464915322486219988627029578 +/- 8.78e-162],True,9.999993420353746e-13
4,5,E,0.00017943334945250058747245033604004338658930646802809382147277859928902931983640623,1.0e-12,[0.0001794333484525005829979236632470212004195418589520111150213625836640293198364062300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.98e-166],[0.0001794333504525005919469770088330655727590710771041765279241946149140293198364062300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 8.98e-166],[0.0001794333494525005722178740131018006438887347627138767079034369220407260070281310082407674381098621546829080263679159602156055466997570596914037284189579240024524 +/- 5.93e-165],[0.0001794333494525006027270266589782861292898781733423109350421202765373326326446814537974080631098621546829080263679159602156055466997570596914037284189579240024524 +/- 5.93e-165],True,9.999999892199504e-13
4,6,y_1,0.0039410920047379337540812808308473790073078884797971992117387072254317464207723017,1.0e-12,[0.003941092003737933749606754158054356821138123870721116505287291209806746420772301700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 5.5e-166],[0.003941092005737933758555807503640401193477653088873281918190123241056746420772301700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 5.5e-166],[0.003941092004737933752993707864170454093825157916781534374585000746431298549841644930309515029899630087447905485654532412820536592526884658578463577518357833543486 +/- 4.07e-165],[0.003941092004737933755168853797524303920790619042812864048892413704432194291702958511776189834587130087447905485654532412820536592526884658578463577518357833543486 +/- 4.07e-165],True,1.0000000033869538e-12
4,6,y_2,0.10290197368502874450231147154937032858824124698617567882262725402894760667786662,1.0e-12,[0.1029019736840287444978369448765773064020714823770995961161758380133226066778666200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.56e-163],[0.1029019736860287445067859982221633507744110115952517615290786700445726066778666200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.56e-163],[0.1029019736850287444906963655719431958164419628643720956085885297927863914470440531586738923964357784284232994175885479764158543329618345708707655416816153393904 +/- 3.15e-161],[0.1029019736850287445139265775267974613600405311079792620366659782651088219086891795014473298964357784284232994175885479764158543329618345708707655416816153393904 +/- 3.15e-161],True,9.999999928594207e-13
4,6,y_3,0.46867890793284071548322983200022477729265375496977465014738754856879260485503631,1.0e-12,[0.4686789079318407154787553053274317551064839903606985674409361325531676048550363100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.57e-162],[0.4686789079338407154877043586730177994788235195788507328538389645844176048550363100000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.57e-162],[0.4686789079328407154689403901392429505682028843281253519740507246326955428950096846709712880706970910633429148486503951327519312167498021182467072451933631178991 +/- 4.64e-161],[0.4686789079328407154975192738612066040171046256114239483207243725048896668150629283080562490081970910633429148486503951327519312167498021182467072451933631178991 +/- 4.64e-161],True,9.999999901850848e-13
4,6,y_4,0.87692826900784652133616988630474178375740197925936747439949446699394868890769854,1.0e-12,[0.8769282690068465213316953596319487615712322146502913916930430509783236889076985400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.34e-162],[0.8769282690088465213406444129775348059435717438684435571059458830095736889076985400000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.34e-162],[0.8769282690078465213318590321569063026414699332955776815729906786462124987180910954774530986476637989971674538069211171079869425894489663275416630033495487671279 +/- 3.26e-161],[0.8769282690078465213404807404525772648733340252231572672259982553416848790973059783281000713039137989971674538069211171079869425894489663275416630033495487671279 +/- 3.26e-161],True,1.0000000001636725e-12
