n,k,equation_index,equation_type,lower,upper,contains_zero
4,5,3,moment,[-1.23519349994527169456226545207755407318472862243652343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003417027009903531485651912847936e-12 +/- 1.77e-193],[1.23519349994527169456226545207755407318472862243652343749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996582972990096468514348087152064e-12 +/- 1.77e-193],True
4,5,4,moment,[-1.08223496726462652811617815018507826607674360275268554687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003088781841847813676016756744156e-12 +/- 1.11e-192],[1.08223496726462652811617815018507826607674360275268554687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996911218158152186323983243255844e-12 +/- 1.11e-192],True
4,5,5,equal_error,[-9.01199061739484523650305690595250857826774864750350817490096287110718948695947666099697117631130213321718237561058933201379429237459336655361472187053794999999999999999999999937555e-11 +/- 3.17e-191],[9.01199056169347674347220545981708632949287146968399182509903712889281051304052333900302882368869786678281762438941066798620570762540663344638527812946205000000000000000000000062445e-11 +/- 3.17e-191],True
4,5,6,equal_error,[-1.01335191912083996802218045625852020287841007177308668250990371288928105130405233390030288236886978667828176243894106679862057076254066334463852781294620500000000000000000000006245e-10 +/- 4.69e-190],[1.01335191384895509247022126079753441905648067529722581749009628711071894869594766609969711763113021332171823756105893320137942923745933665536147218705379499999999999999999999993755e-10 +/- 4.69e-190],True
4,5,7,equal_error,[-7.46480306570781042432743178566288484093254356937850817490096287110718948695947666099697117631130213321718237561058933201379429237459336655361472187053794999999999999999999999937555e-11 +/- 3.17e-191],[7.46480305337452883071675769982557462695533484859024182509903712889281051304052333900302882368869786678281762438941066798620570762540663344638527812946205000000000000000000000062445e-11 +/- 3.17e-191],True
4,5,8,equal_error,[-4.49908988028562968461527517077793086114818305415664807509903712889281051304052333900302882368869786678281762438941066798620570762540663344638527812946205000000000000000000000062445e-11 +/- 3.17e-191],[4.49908991430295472793603793676429709252422600346053942490096287110718948695947666099697117631130213321718237561058933201379429237459336655361472187053794999999999999999999999937555e-11 +/- 3.17e-191],True
4,5,9,stationarity,-4.45200398768719196596066467463970184326171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,4.45200398768719196596066467463970184326171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
4,5,10,stationarity,-2.71996048600842144082889717537909746170043945312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,2.71996048600842144082889717537909746170043945312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
4,6,0,moment,[-4.00000005855568815937850501995853846892714500427246093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012049599326e-12 +/- 4.86e-192],[4.00000005855568815937850501995853846892714500427246093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999987950400674e-12 +/- 4.86e-192],True
4,6,1,moment,[-2.45245027424519958236803773843348608352243900299072265625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003271952457804115553516392515178e-12 +/- 3.74e-192],[2.45245027424519958236803773843348608352243900299072265624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996728047542195884446483607484822e-12 +/- 3.74e-192],True
