n,k,equation_index,equation_type,lower,upper,contains_zero
4,5,4,moment,[-1.08223496726462652811617815018507826607674360275268554687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997464477157779699374669197958407e-12 +/- 4.79e-192],[1.08223496726462652811617815018507826607674360275268554687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002535522842220300625330802041593e-12 +/- 4.79e-192],True
4,5,5,equal_error,[-9.01199059913905338472912205344014437255677924089959714007109706801635937689809122493901378453170919736320840397843944533002429403085962715810420759974972000000000000000000000036294e-11 +/- 2.96e-191],[9.01199057994926859524614031232945053520384087628790285992890293198364062310190877506098621546829080263679159602156055466997570596914037284189579240025027999999999999999999999963706e-11 +/- 2.96e-191],True
4,5,6,equal_error,[-1.01335191769381263574306063948739822083968187815613403599289029319836406231019087750609862154682908026367915960215605546699757059691403728418957924002502799999999999999999999996371e-10 +/- 3.71e-190],[1.01335191527598242474934107756865640109520886891417846400710970680163593768980912249390137845317091973632084039784394453300242940308596271581042075997497200000000000000000000003629e-10 +/- 3.71e-190],True
4,5,7,equal_error,[-7.46480306913606202226358561329957665262040839129022214007109706801635937689809122493901378453170919736320840397843944533002429403085962715810420759974972000000000000000000000036294e-11 +/- 2.96e-191],[7.46480304994627723278060387218888281526747002667852785992890293198364062310190877506098621546829080263679159602156055466997570596914037284189579240025027999999999999999999999963706e-11 +/- 2.96e-191],True
4,5,8,equal_error,[-4.49908990938344326124425436336482307555856957501837160992890293198364062310190877506098621546829080263679159602156055466997570596914037284189579240025027999999999999999999999963706e-11 +/- 2.96e-191],[4.49908988520514115130705874417740487811383948259881589007109706801635937689809122493901378453170919736320840397843944533002429403085962715810420759974972000000000000000000000036294e-11 +/- 2.96e-191],True
4,5,9,stationarity,-4.45200398768719196596066467463970184326171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,4.45200398768719196596066467463970184326171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
4,5,10,stationarity,-2.71996048600842144082889717537909746170043945312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,2.71996048600842144082889717537909746170043945312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
4,6,0,moment,[-4.00000005855568815937850501995853846892714500427246093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000018296440109e-12 +/- 2.40e-192],[4.00000005855568815937850501995853846892714500427246093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999989999999999999999999981703559891e-12 +/- 2.40e-192],True
4,6,1,moment,[-2.45245027763333137138523909470677608624100685119628906250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005118829369840879821177641349921e-12 +/- 1.78e-192],[2.45245027763333137138523909470677608624100685119628906249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999994881170630159120178822358650079e-12 +/- 1.78e-192],True
4,6,2,moment,[-1.66593414817296434082827261136117158457636833190917968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003240955494501008614969368541253e-12 +/- 1.18e-192],[1.66593414817296434082827261136117158457636833190917968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996759044505498991385030631458747e-12 +/- 1.18e-192],True
4,6,3,moment,[-1.37840030324043807952172358000098029151558876037597656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002229281660983751147890010864231e-12 +/- 4.23e-192],[1.37840030324043807952172358000098029151558876037597656249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997770718339016248852109989135769e-12 +/- 4.23e-192],True
