rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,selected_k,depth
4.987656250000001,4.993828125,-8.625000000000002,-8.600000000000001,7,4
4.993828125,5.0,-8.650000000000002,-8.625000000000002,7,4
4.987656250000001,4.993828125,-8.650000000000002,-8.625000000000002,7,4
4.9753125,4.987656250000001,-8.650000000000002,-8.600000000000001,7,3
4.987656250000001,5.0,-8.700000000000001,-8.650000000000002,7,3
4.9753125,4.987656250000001,-8.700000000000001,-8.650000000000002,7,3
4.9506250000000005,4.9753125,-8.700000000000001,-8.600000000000001,7,2
4.9753125,5.0,-8.8,-8.700000000000001,7,2
4.9506250000000005,4.9753125,-8.8,-8.700000000000001,7,2
4.90125,4.9506250000000005,-8.8,-8.600000000000001,7,1
4.90125,5.0,-9.2,-8.8,7,0
4.90125,5.0,-9.6,-9.2,7,0
4.90125,5.0,-10.0,-9.6,7,0
4.90125,5.0,-10.4,-10.0,7,0
4.9506250000000005,5.0,-10.600000000000001,-10.4,7,1
4.90125,4.9506250000000005,-10.600000000000001,-10.4,7,1
4.9753125,5.0,-10.700000000000001,-10.600000000000001,7,2
4.9506250000000005,4.9753125,-10.700000000000001,-10.600000000000001,7,2
4.9753125,5.0,-10.8,-10.700000000000001,7,2
4.96296875,4.9753125,-10.75,-10.700000000000001,7,3
4.9506250000000005,4.96296875,-10.75,-10.700000000000001,7,3
4.969140625,4.9753125,-10.775,-10.75,7,4
4.96296875,4.969140625,-10.775,-10.75,7,4
4.969140625,4.9753125,-10.8,-10.775,7,4
4.96296875,4.969140625,-10.8,-10.775,7,4
4.956796875,4.96296875,-10.775,-10.75,7,4
4.9506250000000005,4.956796875,-10.775,-10.75,7,4
4.9259375,4.9506250000000005,-10.700000000000001,-10.600000000000001,7,2
4.90125,4.9259375,-10.700000000000001,-10.600000000000001,7,2
4.93828125,4.9506250000000005,-10.75,-10.700000000000001,7,3
4.9259375,4.93828125,-10.75,-10.700000000000001,7,3
4.944453125000001,4.9506250000000005,-10.775,-10.75,7,4
4.9259375,4.932109375,-10.8,-10.775,8,4
4.919765625,4.9259375,-10.725000000000001,-10.700000000000001,7,4
4.91359375,4.919765625,-10.725000000000001,-10.700000000000001,7,4
4.907421875000001,4.91359375,-10.725000000000001,-10.700000000000001,7,4
4.90125,4.907421875000001,-10.725000000000001,-10.700000000000001,7,4
4.919765625,4.9259375,-10.8,-10.775,8,4
4.91359375,4.919765625,-10.8,-10.775,8,4
4.907421875000001,4.91359375,-10.775,-10.75,8,4
4.90125,4.907421875000001,-10.775,-10.75,8,4
4.907421875000001,4.91359375,-10.8,-10.775,8,4
4.90125,4.907421875000001,-10.8,-10.775,8,4
4.993828125,5.0,-10.825000000000001,-10.8,7,4
4.987656250000001,4.993828125,-10.825000000000001,-10.8,7,4
4.987656250000001,4.993828125,-10.875,-10.850000000000001,8,4
4.993828125,5.0,-10.9,-10.875,8,4
